
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  56/4/0/0       1.9       44%     58%    40%  100% 0.98   38%
  early      grave-larva               blind        policy-pick           100%  56/4/0/0       1.9       44%     58%    40%  100% 0.98   37%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       1.9       42%     53%    43%  100% 0.97   35%
  early      grave-larva               control-lock policy-pick           100%  36/24/0/0      3.4       14%     58%    42%  100% 0.98   58%
  early      grave-larva               aggro-brute  policy-pick           100%  57/3/0/0       2.3       33%     65%    34%  100% 0.98   43%
  early      grave-larva               turtle       policy-pick            42%  25/0/35/0      6.8        2%     65%    35%  100% 0.97   50%
  early      grave-larva               chaos        policy-pick           100%  54/6/0/0       2.2       34%     58%    42%  100% 0.98   34%
  early      grave-larva               mercy-seeker policy-pick            92%  55/0/5/0       5.3        5%     60%    40%  100% 0.97   35%
  early      foot-stealer              greedy       policy-pick           100%  56/4/0/0       2.2       46%     59%    39%  100% 0.98   37%
  early      foot-stealer              blind        policy-pick           100%  56/4/0/0       2.3       46%     60%    39%  100% 0.98   36%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.2       39%     53%    43%  100% 0.97   37%
  early      foot-stealer              control-lock policy-pick            98%  41/18/1/0      4.0       16%     57%    43%  100% 0.98   58%
  early      foot-stealer              aggro-brute  policy-pick           100%  54/6/0/0       2.6       32%     62%    37%  100% 0.98   46%
  early      foot-stealer              turtle       policy-pick            20%  12/0/48/0      5.8        2%     67%    33%  100% 0.96   50%
