
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  49/11/0/0      2.0       40%     58%    42%  100% 0.99   30%
  early      grave-larva               blind        policy-pick           100%  49/11/0/0      2.0       41%     58%    42%  100% 0.99   30%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       1.9       45%     63%    37%  100% 0.98   35%
  early      grave-larva               control-lock policy-pick           100%  55/5/0/0       2.8       34%     57%    42%  100% 0.98   51%
  early      grave-larva               aggro-brute  policy-pick           100%  46/14/0/0      2.1       36%     59%    41%  100% 0.99   28%
  early      grave-larva               turtle       policy-pick            78%  43/4/13/0      4.7        6%     61%    39%  100% 0.96   30%
  early      grave-larva               chaos        policy-pick           100%  55/5/0/0       2.6       30%     61%    39%  100% 1.00   30%
  early      grave-larva               mercy-seeker policy-pick           100%  50/10/0/0      3.3       16%     56%    44%  100% 0.97   28%
  early      foot-stealer              greedy       policy-pick           100%  59/1/0/0       2.5       39%     58%    42%  100% 1.00   34%
  early      foot-stealer              blind        policy-pick           100%  59/1/0/0       2.5       39%     58%    42%  100% 1.00   33%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.4       44%     64%    36%  100% 0.98   33%
  early      foot-stealer              control-lock policy-pick           100%  58/2/0/0       3.0       35%     55%    43%  100% 0.98   49%
