
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=roles-forge


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: roles-forge (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  60/0/0/0       2.3       31%     56%    44%  100% 1.00   40%
  early      grave-larva               blind        policy-pick           100%  60/0/0/0       2.2       33%     56%    44%  100% 1.00   45%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       2.0       30%     55%    45%  100% 0.98   35%
  early      grave-larva               control-lock policy-pick            98%  59/0/1/0       3.8       35%     52%    43%  100% 0.97   70%
  early      grave-larva               aggro-brute  policy-pick           100%  60/0/0/0       2.3       27%     56%    44%  100% 1.00   37%
  early      grave-larva               turtle       policy-pick            92%  54/1/5/0       4.3       11%     59%    38%  100% 1.00   36%
  early      grave-larva               chaos        policy-pick           100%  60/0/0/0       3.1       19%     59%    41%  100% 1.00   42%
  early      grave-larva               mercy-seeker policy-pick           100%  57/3/0/0       3.4       22%     59%    39%  100% 1.00   30%
  early      foot-stealer              greedy       policy-pick           100%  60/0/0/0       2.6       31%     56%    44%  100% 1.00   44%
  early      foot-stealer              blind        policy-pick           100%  60/0/0/0       2.6       33%     56%    44%  100% 1.00   48%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.4       31%     56%    44%  100% 0.98   35%
  early      foot-stealer              control-lock policy-pick            98%  59/0/1/0       4.2       36%     52%    44%  100% 0.97   61%
  early      foot-stealer              aggro-brute  policy-pick           100%  60/0/0/0       2.6       28%     56%    44%  100% 1.00   40%
